train_dataset,test_dataset,feature_set,n_features,train_bias_level,test_bias_level,train_bias_bucket,test_bias_bucket,accuracy,precision,recall,f1,roc_auc,pr_auc,spd,eod,aaod,di,ppr_priv,ppr_unpriv,tpr_priv,tpr_unpriv,fpr_priv,fpr_unpriv,fairness_penalty
pd_v0_25,pd_v0_5,B_com_protegido,22,0.25,0.5,baixo,medio,0.9885043562439496,0.9311858264546004,0.9999567604963895,0.9643467745298361,0.9995261256737887,0.9972472100720833,0.6811253867651823,-6.253517603649339e-05,3.1267588018246695e-05,44.55857345393513,0.015636999395434715,0.696762386160617,1.0,0.9999374648239635,0.0,0.0,11.059948160866092
pd_v0_25,pd_v0_75,B_com_protegido,22,0.25,0.75,baixo,medio,0.9996604737070839,0.9984312120592047,0.9998633879781421,0.9991467867990853,0.9999957572162235,0.999986026106467,0.7118591711475074,-0.00015206812652068802,0.00011738801307881118,18.613969448075075,0.04041446610010455,0.752273637247612,1.0,0.9998479318734793,0.0005444950157763941,0.0004617871161394597,4.581524518840546
pd_v0_25,pd_v0,B_com_protegido,22,0.25,0.0,baixo,baixo,0.9997162181336613,0.9989558396577192,0.9998215742251223,0.9993885194527249,0.9999961076833087,0.9999909100004905,-0.2027866176150866,0.0,0.0008622547962923044,0.2856626545412125,0.2838807447269128,0.08109412711182623,1.0,1.0,0.0017245095925846087,0.0,0.22949655446754164
pd_v0_25,pd_v1,B_com_protegido,22,0.25,1.0,baixo,alto,0.9835990159409564,0.9246959345608284,0.9999337419247971,0.960844236462611,0.9996294993066908,0.9984749605829266,0.8752173037722092,,0.003137198374714243,8045.122238970374,0.0001088020890001088,0.8753261058612093,,0.9999337419247971,0.0001088020890001088,0.003246000463714352,2681.6668644908405
pd_v0_25,gs_v0_5,C_com_protegido,30,0.25,0.5,baixo,medio,0.9999749186423461,0.9999708658664491,0.9999126026918371,0.9999417334304442,0.9999982937896505,0.9999948728923578,-0.05415185763574257,-0.0001237521656628493,6.187608283142465e-05,0.8196519484747047,0.3002630590003758,0.24611120136463324,1.0,0.9998762478343372,0.0,0.0,0.05867138435238304
pd_v0_25,gs_v0_25,C_com_protegido,30,0.25,0.25,baixo,baixo,0.9999749186423461,0.9999708658664491,0.9999126026918371,0.9999417334304442,0.9999983182305902,0.9999949338344649,-0.08951970319536301,0.0,0.0,0.7228185960551508,0.322964318389753,0.23344461519438997,1.0,1.0,0.0,0.0,0.09167527678505306
pd_v0_25,gs_v0_75,C_com_protegido,30,0.25,0.75,baixo,medio,0.9999749186423461,0.9999708658664491,0.9999126026918371,0.9999417334304442,0.9999982872720667,0.999994856764614,0.22515561109485357,,0.0,,0.0,0.22515561109485357,,0.9998946296231253,0.0,0.0,0.11257780554742679
pd_v0_25,gs_v0,C_com_protegido,30,0.25,0.0,baixo,baixo,0.9995341709255146,0.9975575846390862,0.9998493522145224,0.9987021536725289,0.9999964729971834,0.9999853598933877,0.055105689796454665,0.00022007042253524567,0.00031685393055544116,1.284146645258841,0.19393397992172878,0.24903966971818345,0.9997799295774648,1.0,0.0008437038599451593,0.0004300664213695226,0.0849473148520966
pd_v0_25,gs_v1,C_com_protegido,30,0.25,1.0,baixo,alto,0.9999313019052272,0.9996034696406444,0.9999504165013884,0.9997769129712714,0.9999967290279516,0.9999867884667142,,,,,,,,,,,
pd_v0_25,pd_v0_5,C_com_protegido,30,0.25,0.5,baixo,medio,0.989001828546843,0.9339687411655426,0.9999567604963895,0.9658369528900769,0.9999375196486973,0.9996635533703063,0.6812125365320567,-6.253517603649339e-05,0.00017498704763307854,44.5641467589325,0.015636999395434715,0.6968495359274914,1.0,0.9999374648239635,0.0,0.0002874389192296637,11.061399204422058
